Name,long,Lat
Ceratocephale oculata,-76.083,34.4
Ceratocephale oculata,-76.08,34.4
,-75.757,34.302
,-75.375,12.083
,-75.124,12.417
,-74.875,12.75
,-74.839,-42.593
,-74.733,36.583
,-74.717,36.25
,-74.717,36
,-74.467,37.267
,-74.433,37.183
,-74.4,37.367
,-74.394,12.815
,-74.375,12.417
Ceratocephale loveni,-74.334,37.206
,-73.9,37.917
,-73.8,37.8
,-73.779,-36.477
Ceratocephale loveni,-73.733,38.021
,-73.668,-36.548
,-73.617,38.2
,-73.603,-36.43
,-73.25,38.517
Ceratocephale loveni,-73.1,38.608
Ceratocephale loveni,-73.033,38.45
,-72.5,39.167
Ceratocephale loveni,-72.392,39.203
